epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.86529,4.12438,4.12748,4.76736,0,0,0,0,4.29781,3.7201,4.1612,6e-05,6e-05,6e-05
2,5.17478,3.72048,3.94073,4.66509,0,0,0,0,4.30108,3.72293,4.16249,0.000138614,0.000138614,0.000138614
3,7.44064,3.65628,3.3592,4.50444,0,0,0,0,4.30602,3.73012,4.16435,0.000215644,0.000215644,0.000215644
4,9.1219,3.27589,2.96857,4.34681,0,0,0,0,4.31509,3.74135,4.16796,0.00029109,0.00029109,0.00029109
5,10.2764,3.19475,2.71831,4.27807,0,0,0,0,4.33214,3.7537,4.17341,0.000364952,0.000364952,0.000364952
6,11.3766,3.06504,2.26445,4.02829,0,0,0,0,4.34906,3.77197,4.18047,0.00043723,0.00043723,0.00043723
7,12.5515,3.15101,2.41647,3.9911,0,0,0,0,4.37509,3.79485,4.19214,0.000507924,0.000507924,0.000507924
8,13.6784,2.7611,2.00639,3.67148,0,0,0,0,4.40352,3.81604,4.20679,0.000577034,0.000577034,0.000577034
9,14.811,2.67286,1.91856,3.48807,0,0,0,0,4.43468,3.83273,4.22507,0.00064456,0.00064456,0.00064456
10,15.9804,2.57315,1.73454,3.22802,0,0,0,0,4.47681,3.8505,4.24626,0.000710502,0.000710502,0.000710502
11,17.1308,2.33881,1.69215,3.19866,0,0,0,0,4.50478,3.84428,4.27049,0.00077486,0.00077486,0.00077486
12,18.2681,2.4939,1.73372,2.87447,0,0,0,0,4.53119,3.8448,4.2951,0.000837634,0.000837634,0.000837634
13,19.8297,2.19154,1.45991,2.83175,0,0,0,0,4.55349,3.84513,4.31156,0.000898824,0.000898824,0.000898824
14,21.5069,2.12179,1.5888,2.75208,0,0,0,0,4.56085,3.85524,4.32305,0.00095843,0.00095843,0.00095843
15,23.1805,2.03488,1.37906,2.77722,0,0,0,0,4.58755,3.79971,4.35406,0.00101645,0.00101645,0.00101645
